config_key,method,k1,b,fb_terms,fb_docs,original_weight,map,num_queries
RM3__b=0.4__fb_docs=5__fb_terms=10__k1=0.6__original_weight=0.4,RM3,0.6,0.4,10,5,0.4,0.25906247507282687,50
RM3__b=0.4__fb_docs=5__fb_terms=10__k1=0.6__original_weight=0.5,RM3,0.6,0.4,10,5,0.5,0.26538305013501834,50
RM3__b=0.4__fb_docs=5__fb_terms=10__k1=0.6__original_weight=0.6,RM3,0.6,0.4,10,5,0.6,0.2660261996153342,50
RM3__b=0.4__fb_docs=10__fb_terms=10__k1=0.6__original_weight=0.4,RM3,0.6,0.4,10,10,0.4,0.2519768224659742,50
RM3__b=0.4__fb_docs=10__fb_terms=10__k1=0.6__original_weight=0.5,RM3,0.6,0.4,10,10,0.5,0.2569958558783568,50
RM3__b=0.4__fb_docs=10__fb_terms=10__k1=0.6__original_weight=0.6,RM3,0.6,0.4,10,10,0.6,0.2599229166534495,50
RM3__b=0.4__fb_docs=15__fb_terms=10__k1=0.6__original_weight=0.4,RM3,0.6,0.4,10,15,0.4,0.25481626870854,50
RM3__b=0.4__fb_docs=15__fb_terms=10__k1=0.6__original_weight=0.5,RM3,0.6,0.4,10,15,0.5,0.25965555520216327,50
RM3__b=0.4__fb_docs=15__fb_terms=10__k1=0.6__original_weight=0.6,RM3,0.6,0.4,10,15,0.6,0.2614736939681115,50
RM3__b=0.4__fb_docs=5__fb_terms=25__k1=0.6__original_weight=0.4,RM3,0.6,0.4,25,5,0.4,0.2699221222730166,50
RM3__b=0.4__fb_docs=5__fb_terms=25__k1=0.6__original_weight=0.5,RM3,0.6,0.4,25,5,0.5,0.2709129535553539,50
RM3__b=0.4__fb_docs=5__fb_terms=25__k1=0.6__original_weight=0.6,RM3,0.6,0.4,25,5,0.6,0.27018904269716293,50
RM3__b=0.4__fb_docs=10__fb_terms=25__k1=0.6__original_weight=0.4,RM3,0.6,0.4,25,10,0.4,0.2631145348643847,50
RM3__b=0.4__fb_docs=10__fb_terms=25__k1=0.6__original_weight=0.5,RM3,0.6,0.4,25,10,0.5,0.26664008819590346,50
RM3__b=0.4__fb_docs=10__fb_terms=25__k1=0.6__original_weight=0.6,RM3,0.6,0.4,25,10,0.6,0.26409555395593054,50
RM3__b=0.4__fb_docs=15__fb_terms=25__k1=0.6__original_weight=0.4,RM3,0.6,0.4,25,15,0.4,0.26882914435695665,50
RM3__b=0.4__fb_docs=15__fb_terms=25__k1=0.6__original_weight=0.5,RM3,0.6,0.4,25,15,0.5,0.2738361724862571,50
RM3__b=0.4__fb_docs=15__fb_terms=25__k1=0.6__original_weight=0.6,RM3,0.6,0.4,25,15,0.6,0.2698263813150023,50
RM3__b=0.4__fb_docs=5__fb_terms=50__k1=0.6__original_weight=0.4,RM3,0.6,0.4,50,5,0.4,0.2721763981982098,50
RM3__b=0.4__fb_docs=5__fb_terms=50__k1=0.6__original_weight=0.5,RM3,0.6,0.4,50,5,0.5,0.2713331221477016,50
RM3__b=0.4__fb_docs=5__fb_terms=50__k1=0.6__original_weight=0.6,RM3,0.6,0.4,50,5,0.6,0.2685113866340006,50
RM3__b=0.4__fb_docs=10__fb_terms=50__k1=0.6__original_weight=0.4,RM3,0.6,0.4,50,10,0.4,0.26332149079249134,50
RM3__b=0.4__fb_docs=10__fb_terms=50__k1=0.6__original_weight=0.5,RM3,0.6,0.4,50,10,0.5,0.2656800600485632,50
RM3__b=0.4__fb_docs=10__fb_terms=50__k1=0.6__original_weight=0.6,RM3,0.6,0.4,50,10,0.6,0.2659305416005898,50
RM3__b=0.4__fb_docs=15__fb_terms=50__k1=0.6__original_weight=0.4,RM3,0.6,0.4,50,15,0.4,0.27368489865622025,50
RM3__b=0.4__fb_docs=15__fb_terms=50__k1=0.6__original_weight=0.5,RM3,0.6,0.4,50,15,0.5,0.2717460628643295,50
RM3__b=0.4__fb_docs=15__fb_terms=50__k1=0.6__original_weight=0.6,RM3,0.6,0.4,50,15,0.6,0.26797370176345664,50
RM3__b=0.4__fb_docs=5__fb_terms=75__k1=0.6__original_weight=0.4,RM3,0.6,0.4,75,5,0.4,0.2725426456850022,50
RM3__b=0.4__fb_docs=5__fb_terms=75__k1=0.6__original_weight=0.5,RM3,0.6,0.4,75,5,0.5,0.2718927302305645,50
RM3__b=0.4__fb_docs=5__fb_terms=75__k1=0.6__original_weight=0.6,RM3,0.6,0.4,75,5,0.6,0.26748410845713155,50
RM3__b=0.4__fb_docs=10__fb_terms=75__k1=0.6__original_weight=0.4,RM3,0.6,0.4,75,10,0.4,0.2625330364173017,50
RM3__b=0.4__fb_docs=10__fb_terms=75__k1=0.6__original_weight=0.5,RM3,0.6,0.4,75,10,0.5,0.26468268642148135,50
RM3__b=0.4__fb_docs=10__fb_terms=75__k1=0.6__original_weight=0.6,RM3,0.6,0.4,75,10,0.6,0.2669957720496154,50
RM3__b=0.4__fb_docs=15__fb_terms=75__k1=0.6__original_weight=0.4,RM3,0.6,0.4,75,15,0.4,0.26986636233727046,50
RM3__b=0.4__fb_docs=15__fb_terms=75__k1=0.6__original_weight=0.5,RM3,0.6,0.4,75,15,0.5,0.27085717428155076,50
RM3__b=0.4__fb_docs=15__fb_terms=75__k1=0.6__original_weight=0.6,RM3,0.6,0.4,75,15,0.6,0.26945192643235893,50
RM3__b=0.4__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4,RM3,0.6,0.4,100,5,0.4,0.2767196952644286,50
RM3__b=0.4__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.5,RM3,0.6,0.4,100,5,0.5,0.27274188335311655,50
RM3__b=0.4__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.6,RM3,0.6,0.4,100,5,0.6,0.26714747251848503,50
RM3__b=0.4__fb_docs=10__fb_terms=100__k1=0.6__original_weight=0.4,RM3,0.6,0.4,100,10,0.4,0.26650994186299626,50
RM3__b=0.4__fb_docs=10__fb_terms=100__k1=0.6__original_weight=0.5,RM3,0.6,0.4,100,10,0.5,0.26553072101627195,50
RM3__b=0.4__fb_docs=10__fb_terms=100__k1=0.6__original_weight=0.6,RM3,0.6,0.4,100,10,0.6,0.26596592729173657,50
RM3__b=0.4__fb_docs=15__fb_terms=100__k1=0.6__original_weight=0.4,RM3,0.6,0.4,100,15,0.4,0.26983767670575337,50
RM3__b=0.4__fb_docs=15__fb_terms=100__k1=0.6__original_weight=0.5,RM3,0.6,0.4,100,15,0.5,0.2744512120987144,50
RM3__b=0.4__fb_docs=15__fb_terms=100__k1=0.6__original_weight=0.6,RM3,0.6,0.4,100,15,0.6,0.26862553818123786,50
